length,number_of_hashtags,number_of_mentions,likes_received,retweets_received,sentiment_polarity,sentiment.subjectivity,time
142,0,0,85599,18454,-0.06666666666666667,0.5333333333333333,17
46,0,0,52682,13175,0.0,0.0,20
142,0,0,70198,15388,0.16666666666666666,0.3333333333333333,20
142,0,0,110618,22540,0.55,0.375,14
65,0,0,65518,13976,0.9,0.875,03
146,0,1,0,6806,-0.3888888888888889,0.8333333333333334,03
150,0,1,0,10317,0.0,0.4666666666666666,03
142,0,2,0,16152,0.25,0.25,03
80,1,0,57624,13057,0.0,0.0,00
141,0,0,78303,18395,0.3333333333333333,1.0,21
144,0,0,72677,17057,0.0,0.1,19
118,0,0,53026,10081,0.0,0.0,17
51,0,0,69377,14144,0.0,0.0,13
145,0,2,0,10980,0.5,0.5,23
125,0,1,38843,9015,0.42,0.7966666666666665,21
142,0,0,88958,26124,-0.4,0.6,20
150,0,0,69747,16894,0.4714285714285715,0.6595238095238095,20
142,0,0,57534,12860,0.14285714285714288,0.2380952380952381,20
142,0,0,77169,18407,-0.1,0.8,17
123,0,0,92826,17279,0.27277777777777773,0.6205555555555556,12
65,0,0,86582,13923,0.3,0.0,23
143,0,0,102029,20088,0.4,0.4083333333333333,14
142,0,0,120136,29426,-0.08333333333333333,0.6,13
142,0,0,75698,15247,0.2416666666666667,0.6,11
142,0,0,123041,24932,0.16944444444444443,0.3572222222222223,04
142,1,0,76271,17273,0.65,0.75,22
142,0,0,92270,20187,0.16,0.5399999999999999,14
142,0,0,81406,21584,-0.17232142857142857,0.4401785714285714,14
144,0,0,89009,23677,0.0,0.75,13
142,0,0,147887,38145,-0.07500000000000001,0.275,12
141,0,1,138706,34012,-0.5125000000000001,0.75,14
141,0,0,120248,30882,-0.38125000000000003,0.75,21
142,0,0,95861,18278,0.5,0.5,13
142,0,0,127472,28875,-0.13083333333333333,0.6066666666666667,13
141,0,0,125697,35452,0.06666666666666665,0.43333333333333335,02
110,0,0,93936,15392,0.28958333333333336,0.44999999999999996,23
142,0,1,90013,24283,-0.3,0.75,23
142,0,2,77258,24548,-0.1,0.5,22
142,0,2,53682,10999,0.2,0.4625,18
145,0,0,66153,14862,0.5666666666666667,0.875,18
142,0,1,59812,10650,0.7,0.825,15
144,0,0,148075,37525,0.1625,0.575,13
141,0,0,92827,23865,-0.4,0.675,13
144,0,0,60415,13911,0.17,0.44166666666666665,12
142,0,0,74780,14099,0.375,0.6416666666666666,12
142,0,0,70244,17074,0.4,0.5,06
141,0,0,78900,21523,0.5,0.5,04
111,1,1,41081,7125,0.03522727272727272,0.3,01
81,1,0,50093,8146,0.0,0.0,23
144,0,0,65735,18103,0.0,0.3,19
49,0,0,67788,15046,1.0,0.75,17
142,0,0,99144,22998,-0.6999999999999998,0.6666666666666666,15
142,0,0,75932,19822,0.2041666666666667,0.4388888888888889,15
142,0,0,80271,15765,0.22500000000000003,0.3625,13
74,0,0,154308,55934,0.0,0.0,05
144,0,2,49603,10332,0.725,0.775,05
142,0,0,63882,13869,0.8,0.75,21
142,0,0,62384,12949,0.9,0.9,20
138,0,1,55771,10827,0.0,0.0,20
144,0,0,81700,22153,0.4,0.8125,16
94,0,0,107041,23129,0.17045454545454544,0.5,15
85,0,1,56072,10375,0.41818181818181815,0.5272727272727273,13
61,1,1,0,7723,0.0,0.0,13
148,0,1,0,16851,0.0,0.0,12
142,0,0,135518,39776,0.0,0.0,21
72,1,1,47604,13223,0.13636363636363635,0.5,18
143,0,0,67069,14012,0.0,0.0,16
25,0,0,188964,48878,1.0,0.75,15
142,0,1,0,9630,0.0,0.0,12
127,0,0,51413,12722,-0.125,0.1,23
143,0,0,67633,14760,0.775,0.8,17
141,0,1,75530,18756,0.2,0.2,12
93,0,0,91076,16781,0.0666666666666667,0.5833333333333334,12
142,0,0,96052,22223,0.4,0.525,12
142,0,0,97291,26480,0.4,0.7,11
92,0,0,127321,38708,0.0,0.0,13
142,0,0,124568,37568,-0.2851851851851852,0.46296296296296297,13
142,0,0,122657,30004,0.1,0.5,13
137,0,0,87891,26396,0.11538461538461536,0.3846153846153846,12
77,0,0,71275,19720,0.0,0.625,12
142,0,1,0,13800,-0.016666666666666663,0.65,12
145,0,1,0,24364,0.25,0.3,11
119,0,2,0,8408,0.1875,0.4375,11
146,0,1,0,15080,0.19999999999999998,0.6277777777777778,11
96,0,0,93984,22963,-0.0625,0.75,11
141,0,1,107789,27885,-0.3,0.5,02
146,0,0,114871,33448,0.25,0.625,02
142,0,0,144545,43953,0.18333333333333335,0.5333333333333333,02
53,0,0,80598,14755,0.55625,0.5416666666666666,01
130,0,0,98552,27239,0.8,1.0,21
142,0,0,116553,31645,-0.22499999999999998,0.75,17
142,0,0,128060,28406,0.8,0.75,12
135,0,0,71437,17324,0.18571428571428572,0.5904761904761905,07
144,0,0,60502,15816,0.1,0.4,21
144,0,0,88108,22574,-0.625,1.0,20
113,1,1,0,6742,0.0,0.0,17
142,0,0,82038,17840,-0.2916666666666667,0.5416666666666666,11
142,0,0,120285,31010,-0.375,0.625,11
142,0,0,130192,35835,-0.125,0.20833333333333334,11
122,0,0,158444,45335,-0.5,0.75,03
141,0,0,154857,48909,0.41666666666666663,0.75,00
144,0,0,114131,29088,0.10500000000000001,0.33,00
69,2,0,54600,13077,0.0,0.0,21
142,0,1,47462,10522,0.8,0.75,21
118,0,1,52929,14544,1.0,0.75,19
142,0,0,99844,22051,0.25,0.3333333333333333,15
99,0,0,88436,16007,0.4490909090909091,0.5611363636363635,13
142,0,0,76367,16879,-0.15972222222222224,0.34722222222222215,12
142,0,1,54532,12443,0.016666666666666666,0.4083333333333333,12
141,0,1,63309,14927,0.0,0.0,12
108,0,0,131858,37053,0.125,1.0,02
145,0,0,59078,20729,0.0,0.1,02
146,0,0,80690,18641,0.0,1.0,01
141,0,0,74159,24369,0.0,0.0,01
144,0,1,118534,40285,-0.6,0.6,01
145,0,0,52678,12932,0.0,0.0,00
142,0,0,48848,11538,0.25,0.3333333333333333,23
146,0,0,54906,12551,0.21666666666666665,0.36666666666666664,22
140,0,1,40915,8388,0.0,0.0,18
142,0,0,49820,11907,0.2,0.30000000000000004,14
142,0,0,101556,20825,0.0625,0.5,14
142,0,0,87455,23718,-0.5,1.0,14
146,0,0,101448,26204,0.3,0.9166666666666667,12
130,0,0,85859,15283,0.5,0.645,12
111,0,0,68621,16990,0.012500000000000011,0.625,11
112,0,1,37799,8206,0.0,0.0,11
61,1,1,0,5570,0.0,0.0,11
98,0,0,72797,13342,0.9,0.75,03
42,0,0,44588,7709,1.0,0.75,03
109,0,0,82091,16516,0.3333333333333333,0.16666666666666666,03
142,0,0,65043,21001,0.016666666666666673,0.2222222222222222,02
146,0,0,96044,23877,0.25833333333333336,0.5333333333333333,01
142,0,4,0,11785,1.0,1.0,23
144,0,0,41086,9619,0.1,0.4,22
93,0,0,47900,10642,0.17045454545454544,0.45454545454545453,22
141,0,2,34700,8444,0.0,0.0,22
88,1,0,30674,7316,0.0,0.0,16
142,0,1,0,9681,0.0,0.0,14
146,0,0,86257,20922,-0.25,0.5,14
126,1,1,0,7260,0.5916666666666667,0.75,13
146,0,2,0,44801,0.3125,0.5,13
150,3,1,0,3608,0.4,1.0,13
128,1,3,0,11968,1.0,1.0,13
144,0,0,113132,18652,0.22361111111111112,0.5958333333333333,13
142,0,0,100910,20529,-0.33958333333333335,0.5520833333333333,12
39,0,0,51507,11874,0.0,0.0,02
142,0,0,77742,16359,0.26545454545454544,0.4981818181818181,02
